Title,Author,Description,Domain,URL,Recipe Prefix,Tags,Category
BlackCow.co.uk - Recipes from the Distillery,Black Cow,"Black Cow is the world's first Pure Milk Vodka. Made in West Dorset with what's left over from grass grazed cows milk after making cheese! Using milk as its only source ingredient is what makes the vodka so smooth. Sip neat, or mix in a long drink or cocktail.",www.blackcow.co.uk,https://www.blackcow.co.uk/blogs/recipes,blackcow.co.uk/blogs/recipes,,food brands
CedarsFoods.com - Our Kitchen,"Cedar's Mediterranean Foods, Inc.","Healthy hommus, delicious dips, tantalizing tzatziki and more! Learn more about the best Mediterranean foods and snacks at Cedar's.",www.cedarsfoods.com,https://www.cedarsfoods.com/Our-Kitchen.aspx,cedarsfoods.com/Our-Kitchen/Recipes/,,food brands
LandOLakes.com - Our Recipes,Land O'Lakes Inc.,"Land O'Lakes is an American member-owned agricultural cooperative based in Minnesota, United States, focusing on the dairy industry.",www.landolakes.com,https://www.landolakes.com/recipes/,landolakes.com/recipe,,food brands
KingArthurBaking.com - Recipes,"King Arthur Baking Company, Inc.","King Arthur Baking is employee-owned supplier of flour, ingredients, baking mixes, cookbooks, and baked goods. It also runs two baking schools. It is the oldest flour company in the United States.",www.kingarthurbaking.com,https://www.kingarthurbaking.com/recipes,kingarthurbaking.com/recipes,,food brands
OceanSpray.com - All Recipes,"Ocean Spray Cranberries, Inc.","Ocean Spray Cranberries, Inc. is an American agricultural cooperative of cranberry growers. The cooperative has made a number of innovations, including the first juice blend, the first juice boxes, and sweetened dried cranberries (Craisins). Its cranberry juice won the ChefsBest Award for best taste. The cooperative employs about 2,000 people, with sales of $1.2 billion in fiscal year 2013 and accounts for 70% of North American cranberry production.",www.oceanspray.com,https://www.oceanspray.com/recipes/mixed-berry-smoothie,oceanspray.com/recipes,,food brands
KerryGoldUSA - Recipes,KerryGold USA,"Irish-Inspired Recipes for Baking, Desserts &amp; Mains",www.kerrygoldusa.com,https://www.kerrygoldusa.com/recipes/,kerrygoldusa.com/recipes/,,food brands
OldElPaso.com - Recipes,General Mills,Mexican Recipes - Mexican Dishes & Food Ideas - Old El Paso,www.oldelpaso.com,https://www.oldelpaso.com/recipes,oldelpaso.com/recipes,,food brands
Tostitos.com - Recipes,Frito-Lay North America,"Tostitos is a brand of tortilla chips and accompanying dips, salsas and queso. Frito-Lay first introduced the brand in 1977. The term tostito is a contraction of Spanish tostadito (little toasted thing), which is a diminutive of tostado (toasted thing). This chip takes inspiration from a traditional Mexican snack known as totopo.",www.tostitos.com,https://www.tostitos.com/recipes,tostitos.com/recipes,,food brands
FilippoBerio.com - Our Recipes,Filippo Berio,"Filippo Berio is a brand of olive oils exported from Italy and made of oil from Italy, Greece, Spain and Tunisia. The brand is also has wine vinegar, balsamic vinegar, pesto and olives. A merchant named Filippo Berio first sold oil under his name in Italy in 1850.",filippoberio.com,https://filippoberio.com/recipes/,filippoberio.com/recipes/,,food brands
Goya Recipes,Goya Foods,Goya Foods is an American producer and distributor of foods and beverages sold in the United States and many Spanish-speaking countries.,www.goya.com,https://www.goya.com/en/recipes/,goya.com/en/recipes/,,food brands
Herr's Recipes,Herr Foods,"Herr's is an American brand of potato chips and other snack foods produced and marketed by Herr Foods Inc. based in Nottingham, Pennsylvania. Their products are sold in all 50 American states and in over 40 countries.",www.herrs.com,https://www.herrs.com/recipes/,herrs.com/recipes/,,food brands
Coffee Liqueur Cocktails | Tasty drinks with Kahlua,KAHLUA,"KahlUa is a brand of coffee liqueur owned by the Pernod Ricard company and produced in Veracruz, Mexico. The drink contains rum, sugar, and arabica coffee.",www.kahlua.com,https://www.kahlua.com/en-us/drinks/,kahlua.com/en-us/drinks/,,food brands
Treats – Kahlua,KAHLUA,"KahlUa is a brand of coffee liqueur owned by the Pernod Ricard company and produced in Veracruz, Mexico. The drink contains rum, sugar, and arabica coffee.",www.kahlua.com,https://www.kahlua.com/en-us/treats/,kahlua.com/en-us/treats/,,food brands
Smuckers.com - Recipes,THE J.M. SMUCKER COMPANY,"Smucker's, is an American manufacturer of food and beverage products. Headquartered in Orrville, Ohio. The company was founded in 1897 as a maker of apple butter.",www.smuckers.com,https://www.smuckers.com/recipes,smuckers.com/recipes,,food brands
Recipes - Teddie Natural Peanut Butter,The Leavitt Corporation,"The Leavitt Corporation is a manufacturer of nuts and peanut butter, formed by Michael Hintlian in 1925. Its manufacturing facility is in Everett, Massachusetts. Leavitt has about 100 employees. The company produces Teddie Peanut Butter.",teddie.com,https://teddie.com/recipes/,teddie.com/recipes/,,food brands
Barilla.com,Barilla Group,"Barilla Group is an Italian multinational food company founded in 1877. It is the world's largest pasta producer. The company operates 30 production sites, half of which are located in Italy and half internationally.",www.barilla.com,https://www.barilla.com/en-us/recipe,barilla.com/en-us/recipe,,food brands
Café Bustelo Coffee Recipes,J.M. Smucker Company,Café Bustelo is an American coffee brand,www.cafebustelo.com,https://www.cafebustelo.com/coffee/recipes,https://www.cafebustelo.com/coffee/recipes,,food brands
Coffee Recipes | Roast and Post,The Roast & Post Coffee Co.,"Family run coffee roaster and delivery business with a passion for delicious, great tasting coffee.",www.roastandpost.com,https://www.roastandpost.com/coffee-encyclopedia/coffee-recipes/,roastandpost.com/coffee-encyclopedia/coffee-recipes/,,business – coffee
